AREA_NAME,YEAR,CATEGORY,POLICE_INJURED_BY_CRIMINALS,POLICE_INJURED_BY_RIOTOUS_MOBS,POLICE_INJURED_IN_ACCIDENTS,POLICE_INJURED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_INJURED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_INJURED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_INJURED,POLICE_KILLED_BY_CRIMINALS,POLICE_KILLED_BY_RIOTOUS_MOBS,POLICE_KILLED_IN_ACCIDENTS,POLICE_KILLED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_KILLED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_KILLED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_KILLED
WEST BENGAL,2001, INSPECTORS,0,11,4,1,0,0,16,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001, GAZETTED OFFICERS,0,5,0,0,0,0,5,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2001, GAZETTED OFFICERS,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CHANDIGARH,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2001, GAZETTED OFFICERS,0,0,0,0,1,0,1,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2001, GAZETTED OFFICERS,0,0,0,0,1,0,1,0,0,0,0,0,0,0
GOA,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2001, GAZETTED OFFICERS,0,1,1,0,0,0,2,0,0,0,0,0,0,0
HARYANA,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2001, GAZETTED OFFICERS,0,0,1,0,7,0,8,1,0,0,0,1,0,2
JHARKHAND,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,1,0,1
KARNATAKA,2001, GAZETTED OFFICERS,0,3,0,0,0,0,3,0,0,0,0,0,0,0
KERALA,2001, GAZETTED OFFICERS,0,5,0,0,0,0,5,0,0,0,0,0,0,0
LAKSHADWEEP,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2001, GAZETTED OFFICERS,5,2,0,0,0,0,7,0,0,1,0,0,0,1
MAHARASHTRA,2001, GAZETTED OFFICERS,0,9,0,0,0,0,9,0,0,2,0,0,0,2
MANIPUR,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2001, GAZETTED OFFICERS,1,0,0,0,0,0,1,0,0,0,0,0,0,0
PUNJAB,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2001, GAZETTED OFFICERS,3,5,0,0,0,0,8,0,0,0,0,0,0,0
SIKKIM,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2001, GAZETTED OFFICERS,0,5,0,0,0,0,5,0,0,0,0,0,0,0
TRIPURA,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UTTAR PRADESH,2001, GAZETTED OFFICERS,0,2,2,0,0,0,4,0,0,0,0,0,0,0
UTTARAKHAND,2001, GAZETTED OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2001, GAZETTED OFFICERS,0,6,1,0,0,0,7,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001, SUB-INSPECTORS,0,10,5,0,2,0,17,0,0,2,0,2,0,4
ARUNACHAL PRADESH,2001, SUB-INSPECTORS,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ASSAM,2001, SUB-INSPECTORS,0,0,0,0,3,0,3,0,0,1,2,4,0,7
BIHAR,2001, SUB-INSPECTORS,4,0,0,2,1,0,7,0,1,0,0,0,0,1
CHANDIGARH,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2001, SUB-INSPECTORS,0,0,0,0,1,0,1,0,0,2,0,0,0,2
DADRA & NAGAR HAVELI,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2001, SUB-INSPECTORS,6,10,7,3,1,0,27,1,0,2,0,0,0,3
GOA,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2001, SUB-INSPECTORS,0,1,1,0,0,0,2,0,0,0,0,0,0,0
HARYANA,2001, SUB-INSPECTORS,0,1,1,0,0,0,2,0,0,1,0,0,0,1
